iter	Passed	Remaining
0	0	68
1	1	62
2	1	60
3	2	56
4	2	56
5	3	55
6	4	59
7	5	59
8	5	58
9	6	57
10	6	56
11	7	56
12	8	54
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	42
32	20	41
33	20	40
34	21	40
35	22	39
36	22	39
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	32
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	41	19
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	56	4
93	56	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
